t,x,x2
0,3.198 ,-21.328
0.067,0.848 ,-23.254
0.083,-1.540 ,-25.216
0.1,-3.966 ,-27.028
0.117,-6.154 ,-28.777
0.133,-8.464 ,-30.24
0.15,-10.729 ,-31.603
0.167,-12.864 ,-32.692
0.184,-15.081 ,-33.703
0.2,-17.131 ,-34.472
0.217,-19.071 ,-35.163
0.234,-20.834 ,-35.64
0.25,-22.515 ,-36.071
0.267,-24.128 ,-36.276
0.284,-25.610 ,-36.28
0.3,-26.961 ,-36.096
0.317,-28.207 ,-35.738
0.334,-29.237 ,-35.196
0.35,-30.073 ,-34.521
0.367,-30.679 ,-33.759
0.384,-31.121 ,-32.795
0.4,-31.415 ,-31.64
0.417,-31.538 ,-30.353
0.434,-31.491 ,-28.872
0.45,-31.314 ,-27.185
0.467,-30.886 ,-25.396
0.484,-30.317 ,-23.487
0.501,-29.549 ,-21.49
0.517,-28.569 ,-19.446
0.534,-27.402 ,-17.283
0.551,-26.087 ,-15.068
0.567,-24.602 ,-12.653
0.584,-22.972 ,-10.214
0.601,-21.280 ,-7.745
0.617,-19.447 ,-5.38
0.634,-17.411 ,-2.871
0.651,-15.320 ,-0.404
0.667,-13.152 ,2.033
0.684,-10.899 ,4.444
0.701,-8.618 ,6.883
0.717,-6.240 ,9.25
0.734,-3.867 ,11.659
0.751,-1.381 ,13.974
0.767,1.048 ,16.198
0.784,3.511 ,18.286
0.801,6.047 ,20.434
0.817,8.508 ,22.44
0.834,10.991 ,24.379
0.851,13.219 ,26.248
0.868,15.200 ,27.941
0.884,17.136 ,29.445
0.901,19.002 ,30.839
0.918,20.875 ,31.998
0.934,22.574 ,33.051
0.951,24.130 ,33.854
0.968,25.586 ,34.519
0.984,26.915 ,34.914
1.001,28.311 ,35.26
1.018,29.057 ,35.48
1.034,30.105 ,35.501
1.051,30.901 ,35.217
1.068,31.507 ,34.812
1.084,31.930 ,34.217
1.101,32.049 ,33.444
1.118,32.257 ,32.501
1.134,32.047 ,31.524
1.151,31.806 ,30.402
1.168,31.342 ,29.022
1.185,30.764 ,27.563
1.201,29.922 ,25.895
1.218,28.957 ,24.153
1.235,27.810 ,22.194
1.251,26.448 ,20.237
1.268,24.950 ,18.093
1.285,23.391 ,15.872
1.301,21.665 ,13.523
1.318,19.873 ,11.115
1.335,17.997 ,8.596
1.351,16.003 ,6.086
1.368,14.387 ,3.555
1.385,11.710 ,1.046
1.401,9.282 ,-1.506
1.418,7.018 ,-4.108
1.435,4.742 ,-6.608
1.451,2.240 ,-9.094
1.468,-0.000 ,-11.613
1.485,-2.560 ,-14.157
1.502,-4.927 ,-16.535
1.518,-7.179 ,-18.894
1.535,-9.504 ,-21.088
1.552,-11.912 ,-23.227
1.568,-13.941 ,-25.376
1.585,-16.159 ,-27.213
1.602,-18.144 ,-28.975
1.618,-20.143 ,-30.693
1.635,-21.671 ,-32.17
1.652,-23.194 ,-33.517
1.668,-24.757 ,-34.643
1.685,-26.190 ,-35.482
1.702,-27.453 ,-36.354
1.718,-28.552 ,-36.94
1.735,-29.480 ,-37.358
1.752,-30.295 ,-37.618
1.768,-30.837 ,-37.649
1.785,-31.176 ,-37.616
1.802,-31.280 ,-37.31
1.818,-31.242 ,-36.906
1.835,-31.112 ,-36.221
1.852,-30.802 ,-35.239
1.869,-30.264 ,-34.16
1.885,-29.558 ,-32.915
1.902,-28.671 ,-31.447
1.919,-27.579 ,-29.88
1.935,-26.319 ,-28.094
1.952,-24.945 ,-26.238
1.969,-23.392 ,-24.166
1.985,-21.768 ,-22.024
2.002,-19.955 ,-19.851
2.019,-18.150 ,-17.502
2.035,-16.114 ,-15.252
2.052,-14.084 ,-12.828
2.069,-11.898 ,-10.378
2.085,-9.691 ,-8.027
2.102,-7.421 ,-5.759
2.119,-5.127 ,-3.45
2.135,-2.754 ,-1.123
2.152,-0.403 ,1.092
2.169,1.968 ,3.255
2.186,4.381 ,5.399
2.202,6.700 ,7.488
2.219,8.964 ,9.558
2.236,11.378 ,11.572
2.252,13.458 ,13.461
2.269,15.540 ,15.285
2.286,17.261 ,17.063
2.302,18.977 ,18.752
2.319,20.730 ,20.281
2.336,22.127 ,21.712
2.352,23.639 ,23.097
2.369,25.117 ,24.431
2.386,26.040 ,25.609
2.402,27.201 ,26.672
2.419,28.274 ,27.576
2.436,28.946 ,28.28
2.452,29.560 ,28.799
2.469,30.199 ,29.079
2.486,30.504 ,29.156
2.503,30.803 ,29.079
2.519,30.739 ,28.826
2.536,30.571 ,28.448
2.553,30.205 ,27.751
2.569,29.775 ,26.973
2.586,29.047 ,25.984
2.603,28.239 ,24.916
2.619,27.337 ,23.779
2.636,26.262 ,22.442
2.653,24.980 ,21.113
2.669,23.544 ,19.651
2.686,22.041 ,18.108
2.703,20.364 ,16.454
2.719,18.621 ,14.752
2.736,16.854 ,12.949
2.753,14.794 ,11.17
2.769,12.742 ,9.262
2.786,10.752 ,7.341
2.803,8.579 ,5.382
2.819,6.295 ,3.403
2.836,4.037 ,1.413
2.853,1.628 ,-0.585
2.87,-0.791 ,-2.548
2.886,-3.023 ,-4.45
2.903,-5.325 ,-6.363
2.92,-7.703 ,-8.219
2.936,-10.008 ,-10.115
2.953,-12.225 ,-11.929
2.97,-14.200 ,-13.714
2.986,-16.290 ,-15.446
3.003,-18.286 ,-17.013
3.02,-19.747 ,-18.543
3.036,-21.627 ,-19.897
3.053,-23.165 ,-21.151
3.07,-24.709 ,-22.247
3.086,-25.955 ,-23.259
3.103,-27.269 ,-24.159
3.12,-28.260 ,-24.931
3.136,-29.097 ,-25.627
3.153,-29.917 ,-26.178
3.17,-30.478 ,-26.638
3.187,-30.876 ,-27.013
3.203,-31.003 ,-27.218
3.22,-30.959 ,-27.292
3.237,-30.895 ,-27.291
3.253,-30.587 ,-27.084
3.27,-30.125 ,-26.795
3.287,-29.422 ,-26.416
3.303,-28.625 ,-25.862
3.32,-27.661 ,-25.106
3.337,-26.510 ,-24.221
3.353,-25.159 ,-23.176
3.37,-23.743 ,-22.066
3.387,-22.192 ,-20.706
3.403,-20.444 ,-19.444
3.42,-18.632 ,-18.001
3.437,-16.728 ,-16.527
3.453,-14.690 ,-14.982
3.47,-12.498 ,-13.311
3.487,-10.242 ,-11.576
3.504,-7.972 ,-9.841
3.52,-5.573 ,-8.11
3.537,-3.201 ,-6.402
3.554,-0.767 ,-4.654
3.57,1.690 ,-2.882
3.587,4.240 ,-1.129
3.604,6.552 ,0.598
3.62,9.022 ,2.247
3.637,11.304 ,3.98
3.654,13.655 ,5.651
3.67,15.538 ,7.404
3.687,17.479 ,9.026
3.704,19.268 ,10.655
3.72,21.048 ,12.225
3.737,22.572 ,13.689
3.754,24.050 ,15.064
3.77,25.392 ,16.368
3.787,26.845 ,17.607
3.804,27.807 ,18.794
3.82,28.866 ,19.935
3.837,29.630 ,20.974
3.854,30.355 ,21.951
3.871,30.774 ,22.722
3.887,31.151 ,23.469
3.904,31.426 ,24.063
3.921,31.485 ,24.475
3.937,31.334 ,24.847
3.954,30.999 ,25.041
3.971,30.553 ,25.06
3.987,29.769 ,24.867
4.004,28.992 ,24.636
4.021,27.971 ,24.285
4.037,26.848 ,23.8
4.054,25.481 ,23.22
4.071,24.061 ,22.524
4.087,22.512 ,21.698
4.104,20.819 ,20.788
4.121,18.956 ,19.751
4.137,17.105 ,18.663
4.154,15.027 ,17.536
4.171,12.988 ,16.192
4.188,10.856 ,14.837
4.204,8.624 ,13.361
4.221,6.432 ,11.892
4.238,4.137 ,10.351
4.254,2.036 ,8.723
4.271,-0.213 ,7.043
4.288,-2.521 ,5.348
4.304,-4.915 ,3.584
4.321,-6.992 ,1.803
4.338,-9.223 ,0.021
4.354,-11.231 ,-1.806
4.371,-13.450 ,-3.644
4.388,-15.275 ,-5.551
4.404,-17.271 ,-7.334
4.421,-19.120 ,-9.092
4.438,-20.795 ,-10.839
4.454,-22.416 ,-12.608
4.471,-23.740 ,-14.295
4.488,-25.143 ,-15.835
4.505,-26.281 ,-17.341
4.521,-27.302 ,-18.881
4.538,-28.094 ,-20.225
4.555,-28.782 ,-21.541
4.571,-29.406 ,-22.658
4.588,-29.741 ,-23.667
4.605,-29.909 ,-24.58
4.621,-29.985 ,-25.399
4.638,-29.823 ,-26.013
4.655,-29.585 ,-26.559
4.671,-29.168 ,-27.02
4.688,-28.621 ,-27.364
4.705,-27.849 ,-27.543
4.721,-26.913 ,-27.624
4.738,-25.831 ,-27.541
4.755,-24.602 ,-27.388
4.771,-23.197 ,-27.069
4.788,-21.647 ,-26.604
4.805,-20.034 ,-25.942
4.821,-18.294 ,-25.153
4.838,-16.415 ,-24.198
4.855,-14.420 ,-23.108
4.872,-12.380 ,-21.9
4.888,-10.225 ,-20.58
4.905,-8.002 ,-19.138
4.922,-5.809 ,-17.525
4.938,-3.498 ,-15.994
4.955,-1.203 ,-14.29
4.972,1.187 ,-12.531
4.988,3.601 ,-10.739
5.005,5.964 ,-8.869
5.022,8.403 ,-7.003
5.038,10.554 ,-5.054
5.055,12.879 ,-3.124
5.072,14.909 ,-1.234
5.088,16.754 ,0.638
5.105,18.566 ,2.51
5.122,20.086 ,4.33
5.138,21.672 ,6.093
5.155,23.149 ,7.914
5.172,24.398 ,9.681
5.189,25.669 ,11.543
5.205,26.831 ,13.291
5.222,27.877 ,14.944
5.239,28.819 ,16.449
5.255,29.417 ,17.83
5.272,30.143 ,19.206
5.289,30.561 ,20.57
5.305,30.858 ,21.689
5.322,30.939 ,22.773
5.339,30.922 ,23.644
5.355,30.599 ,24.491
5.372,30.203 ,25.196
5.389,29.697 ,25.671
5.405,28.947 ,26.071
5.422,28.073 ,26.316
5.439,27.038 ,26.53
5.455,25.824 ,26.513
5.472,24.399 ,26.293
5.489,23.050 ,25.985
5.506,21.335 ,25.496
5.522,19.628 ,24.877
5.539,17.811 ,24.12
5.556,15.891 ,23.185
5.572,13.825 ,22.16
5.589,11.610 ,21.012
5.606,9.615 ,19.791
5.622,7.303 ,18.406
5.639,5.026 ,16.974
5.656,2.722 ,15.358
5.672,0.526 ,13.72
5.689,-1.829 ,12.041
5.706,-3.953 ,10.266
5.722,-6.237 ,8.386
5.739,-8.379 ,6.514
5.756,-10.660 ,4.582
5.772,-12.777 ,2.653
5.789,-14.660 ,0.633
5.806,-16.603 ,-1.352
5.822,-18.533 ,-3.393
5.839,-20.296 ,-5.431
5.856,-21.830 ,-7.43
5.873,-23.216 ,-9.413
5.889,-24.593 ,-11.35
5.906,-25.778 ,-13.265
5.923,-26.932 ,-15.104
5.939,-27.787 ,-16.888
5.956,-28.572 ,-18.553
5.973,-29.234 ,-20.098
5.989,-29.604 ,-21.58
6.006,-29.808 ,-22.931
6.023,-29.798 ,-24.228
6.039,-29.679 ,-25.258
6.056,-29.465 ,-26.26
6.073,-29.069 ,-27.04
6.089,-28.447 ,-27.729
6.106,-27.681 ,-28.28
6.123,-26.761 ,-28.729
6.139,-25.701 ,-29.064
6.156,-24.508 ,-29.215
6.173,-23.150 ,-29.32
6.19,-21.575 ,-29.176
6.206,-19.915 ,-28.937
6.223,-18.193 ,-28.622
6.24,-16.252 ,-28.112
6.256,-14.238 ,-27.43
6.273,-12.173 ,-26.699
6.29,-10.037 ,-25.807
6.306,-7.855 ,-24.858
6.323,-5.566 ,-23.706
6.34,-3.314 ,-22.483
6.356,-1.033 ,-21.133
6.373,1.352 ,-19.677
6.39,3.637 ,-18.206
6.406,6.014 ,-16.652
6.423,8.252 ,-14.952
6.44,10.476 ,-13.27
6.456,12.563 ,-11.484
6.473,14.521 ,-9.612
6.49,16.424 ,-7.697
6.507,18.255 ,-5.777
6.523,19.691 ,-3.836
6.54,21.315 ,-1.856
6.557,22.714 ,0.145
6.573,24.073 ,2.065
6.59,25.395 ,4.037
6.607,26.485 ,5.901
6.623,27.453 ,7.676
6.64,28.266 ,9.456
6.657,29.016 ,11.16
6.673,29.659 ,12.734
6.69,30.120 ,14.334
6.707,30.471 ,15.823
6.723,30.521 ,17.174
6.74,30.555 ,18.419
6.757,30.257 ,19.613
6.773,29.894 ,20.655
6.79,29.398 ,21.638
6.807,28.640 ,22.469
6.823,27.813 ,23.166
6.84,26.705 ,23.796
6.857,25.536 ,24.207
6.874,24.287 ,24.547
6.89,22.824 ,24.652
6.907,21.236 ,24.766
6.924,19.687 ,24.686
6.94,17.951 ,24.404
6.957,15.879 ,23.988
6.974,13.918 ,23.42
6.99,11.857 ,22.647
7.007,9.770 ,21.861
7.024,7.551 ,20.939
7.04,5.360 ,19.92
7.057,2.961 ,18.743
7.074,0.750 ,17.405
7.09,-1.563 ,15.995
7.107,-3.966 ,14.523
7.124,-6.100 ,12.83
